DBN,SCHOOL NAME,Num of AP Test Takers,Num of AP Total Exams Taken,Num of AP Exams Passed,Num of AP Exams Failed
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,37,53,21,32
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,50,60,54,6
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",306,587,323,264
02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",135,135,8,127
02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",31,40,20,20
02M316,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE",28,28,11,17
02M376,NYC ISCHOOL,80,105,20,85
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,224,334,215,119
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,50,56,28,28
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,108,161,92,69
02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,101,122,93,29
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,183,264,223,41
02M418,MILLENNIUM HIGH SCHOOL,121,135,103,32
02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,234,314,79,235
02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,116,148,40,108
02M439,MANHATTAN VILLAGE ACADEMY,31,45,37,8
02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,13,13,6,7
02M475,STUYVESANT HIGH SCHOOL,1444,2684,2608,76
02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,91,161,73,88
02M519,TALENT UNLIMITED HIGH SCHOOL,59,59,19,40
02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,106,110,64,46
02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,87,124,54,70
02M542,MANHATTAN BRIDGES HIGH SCHOOL,117,174,130,44
02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,105,182,141,41
02M575,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,48,74,43,31
02M580,RICHARD R. GREEN HIGH SCHOOL OF TEACHING,57,91,15,76
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,92,108,43,65
02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,68,134,27,107
02M630,ART AND DESIGN HIGH SCHOOL,166,201,74,127
02M655,LIFE SCIENCES SECONDARY SCHOOL,47,77,13,64
03M403,THE GLOBAL LEARNING COLLABORATIVE,30,30,21,9
03M479,BEACON HIGH SCHOOL,151,187,134,53
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS,923,1576,1177,399
03M492,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE",67,78,27,51
04M435,MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS,311,423,263,160
04M555,CENTRAL PARK EAST HIGH SCHOOL,51,82,30,52
04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,47,60,32,28
05M362,"COLUMBIA SECONDARY SCHOOL FOR MATH, SCIENCE, AND ENGINEERING",14,16,15,1
05M499,FREDERICK DOUGLASS ACADEMY,167,202,121,81
05M670,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE,40,40,7,33
05M692,"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE",196,245,202,43
06M346,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,38,61,6,55
06M348,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,107,124,46,78
